OBJECTID,ACTIVITY,VERSION,YEAR,ALL_OPER_UNITS,OPER_UNIT_GROUP,OPERATING_UNIT,OPERATING_UNIT_DESCRIPTION,ALL_DEPTS,DEPARTMENT_OP_UNIT,DEPARTMENT_DIVISION,DEPTID,DEPARTMENT_DESCRIPTION,ALL_FUNDS,FUND_GROUP,FUND_SUMMARY,FUND,FUND_DESCRIPTION,ALL_ACCOUNTS,NET,EXPREV,OJBECT_CLASS,ACCOUNT_CATEGORY,ACCOUNT,ACCOUNT_DESCRIPTION,BUDGET_AMOUNT
11083,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,8428
11084,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413200,Management Leave Pay Off,548
11085,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413300,Clothing and Uniforms,6656
11086,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,7411
11087,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,10552
11088,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,1680
11089,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,34645
11090,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_433060,Other Professional Services,500
11091,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_434090,Other Technical Services,100
11092,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Property Services,E_443010,Repair And Maintenance Service,500
11093,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Other Purchased Services,E_455010,Printing And Binding,84412
11094,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461010,Postage,200
11095,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,3020
11096,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461160,Small Tools And Equipment,1000
11097,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Office of the Chief Division,D_11001041,Internal Affairs/Prof Standard,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461200,Computer Supplies,350
11098,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund SerProvided,E_501010,Central Services Mail Charges,25000
11099,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,Licenses and Permits,Licenses & Permits,R_322580,Burglar Alarm Permits,930000
11100,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Fines, Forfeitures, and  Penalties","Fines, Forfeitures, &  Penalties",R_351020,Fines and Penalties,415000
11101,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Fines, Forfeitures, and  Penalties","Fines, Forfeitures, &  Penalties",R_351030,Delinquency Charges,32000
11102,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,171353
11103,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,34781
11104,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,26613
11105,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413EPERC,EPERC,-430
11106,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,4172
11107,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415010,FICA - OASDI,10624
11108,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415015,Medicare Insurance,2485
11109,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415020,State Unemployment Insurance,630
11110,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employer Paid Taxes,E_415030,Worker's Compensation,1714
11111,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Labor Adjustments,E_810090,Department Reclasses,-25155
11112,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,Purchased Prof and Tech Svcs,E_431030,Banking And Fiscal Agent Svcs,2400
11113,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001061,Alarm Billing Unit,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Other Services and Supplies,General Supplies,E_461020,Office Supplies,4200
11114,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund SerProvided,E_501010,Central Services Mail Charges,80000
11115,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Labor and Supply Offset,Interfund Reimbursement,E_502100,Measure U Labor Reimbursement,-6402236
11116,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,Intergovernmental,Intergovernmental Accounts,R_341060,Other Recoveries,150000
11117,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_342020,Jail Booking Fee Recovery,210000
11118,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Revenues,"Charges, Fees, and Services","Charges, Fees, & Services Accounts",R_351040,DUI Fees,65000
11119,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Salaries,E_411010,Regular Hours,7891210
11120,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413010,Vacation,155000
11121,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413020,Sick Leave,46324
11122,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413150,Insurance Contribution,1021930
11123,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413170,PERS Retirement,2299151
11124,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413EPERC,EPERC,-49623
11125,BaseBudAct,Stage 2,FY16,Total Entity,Operating Offices,OU_11000,Police,Current Departments,Police Departments,Field Services Division,D_11001081,Department-Wide,Fund,Fund Total,General Funds,F_1001,General Fund,All Account,Net Amount (Revenue less Expense),Expenses,Employee Services,Employee Benefits,E_413190,Deferred Compensation No 1,2865
